Lintang,Bujur,Tinggi_Ort,CBA
-6.7784,110.85198,46,-38.417638
-7.45764,113.05779,-24.621,-38.362255
-6.96906,110.36537,1,-38.347429
-7.03182,108.37463,591,-38.309702
-7.39993,109.51991,164,-38.230928
-7.2329,105.65994,-2124,-38.139882
-6.41349,111.53339,-43.217,-38.094727
-6.72987,111.00846,44,-38.05976
-7.53772,111.89227,60,-38.017093
-6.9594,110.3684,1,-37.980331
-7.41967,110.65113,314,-37.967562
-7.47723,112.90941,-8.861,-37.830055
-7.40311,113.35974,-56.629,-37.718132
-7.4818,111.3413,87,-37.716675
-6.15053,105.12835,-904.536,-37.640383
-6.76761,114.12882,-56.794,-37.628916
-7.52681,110.7593,124,-37.622295
-7.451,111.35092,73,-37.593763
-7.46654,112.91276,-7.858,-37.556249
-7.27691,112.25878,139,-37.495454
-7.58252,110.88353,104,-37.43893
-7.37309,113.65518,-31.202,-37.378191
-7.61955,113.29207,-40.481,-37.310994
-6.98667,109.64988,21,-37.229457
-7.55064,112.17307,43,-37.074839
-7.60666,111.58627,67,-36.987599
-7.68744,113.15797,-9.903,-36.969858
-7.97779,112.03939,135,-36.914218
-7.49515,113.33096,-61.324,-36.85097
-7.3912,113.22121,-47.73,-36.807795
-7.54586,111.60532,61,-36.807344
-7.61366,111.86846,66,-36.801617
-7.66828,113.09719,-4.033,-36.789065
-7.40153,113.5037,-58.404,-36.777081
-7.00243,110.78188,15,-36.709153
-7.69953,111.84152,241,-36.61397
-7.43074,114.4924,-106.914,-36.488705
-6.73922,111.71662,-2.634,-36.447803
-7.42394,112.92605,-6.607,-36.430333
-7.454,113.34384,-59.395,-36.381816
-7.66509,113.08713,-6.969,-36.290222
-6.47766,109.24106,-33.4,-36.280225
-7.35143,113.23366,-51.062,-36.172267
-7.11422,113.73608,14,-36.115753
-7.41887,110.5087,768,-36.113804
-7.02963,110.34651,187,-36.109691
-7.13066,111.40886,101,-36.079176
-7.03354,110.77213,15,-36.072703
-8.6263,112.26395,-673.353,-36.032956
-7.38789,111.22863,71,-36.021043
-7.3577,110.67054,249,-35.897024
-7.61866,113.15008,-16.406,-35.888204
-7.31883,110.54007,621,-35.822193
-6.93996,110.3745,-5.5,-35.750953
-6.51532,109.47802,-40.631,-35.73958
-6.89268,110.66436,5,-35.726067
-7.15575,105.82908,-2186.165,-35.709816
-7.29732,110.83124,87,-35.691727
-7.00035,113.05833,110,-35.643433
-7.7737,112.81658,199,-35.63613
-7.34218,113.3788,-52.822,-35.505358
-6.80209,110.13452,-11.151,-35.499916
-7.67636,112.70473,206,-35.493717
-7.58307,113.44688,-60.186,-35.493144
-7.68424,113.14779,-9.881,-35.492578
-8.16437,111.98033,101,-35.361764
-7.37376,111.09104,76,-35.357059
-6.45917,113.65419,-69.388,-35.342976
-6.99633,109.64685,28,-35.28367
-6.60375,110.76388,185,-35.226687
-6.83931,107.6803,1412,-35.20309
-7.44379,113.34704,-56.779,-35.093767
-6.89557,110.67348,5,-35.075157
-7.63716,112.71698,112,-35.075024
-6.90988,109.8163,13,-35.062889
-6.46726,109.2443,-31.304,-35.055497
-6.42363,111.53023,-43.432,-35.052306
-7.01433,108.31941,582,-34.99137
-6.9753,112.78103,-2.942,-34.848002
-7.39474,109.51505,153,-34.830168
-7.26059,111.81471,83,-34.7186
-7.46311,114.48227,-105.848,-34.665695
-7.52953,113.17797,-31.943,-34.657204
-7.14662,105.39696,-1377.356,-34.651463
-7.23731,105.94888,-2415.601,-34.579237
-7.28,112.54372,9,-34.486529
-6.96961,110.64949,6,-34.403544
-7.66192,113.07708,-7.134,-34.395204
-7.46424,113.34065,-62.016,-34.34919
-6.79058,114.12165,-46.233,-34.333892
-6.45766,112.65656,-54.171,-34.309552
-7.2873,110.83438,89,-34.237722
-7.60917,113.29531,-42.541,-34.204938
-7.44755,113.06094,-24.295,-34.092231
-6.87109,110.39605,-15,-34.086354
-7.30732,110.82811,85,-33.965878
-8.08536,113.28956,55,-33.901731
-6.14029,105.13156,-910.343,-33.847786
-7.3371,110.81877,109,-33.837584
-6.99221,113.77408,114,-33.83652
-7.82598,112.80022,686,-33.83355
-7.31732,110.82498,108,-33.812557
-7.65557,113.05698,7.47,-33.812279
