Lintang,Bujur,Tinggi_Ort,CBA
-7.29227,112.3282,72.8,27.128673
-7.29895,112.2894,68.8,28.531692
-7.289,112.2351,94.6,33.204962
-7.25564,112.5211,8.8,-0.870673
-7.24863,112.4731,12.6,7.386438
-7.25341,112.432,21.6,13.825224
-7.24916,112.3806,40,23.399857
-7.24679,112.3389,50.3,30.027093
-7.24348,112.2863,59.5,37.02207
-7.23464,112.5629,12.3,1.164152
-7.21275,112.5047,13.1,13.224112
-7.21042,112.4756,16.1,17.074999
-7.21465,112.4244,33.1,19.511741
-7.20517,112.3824,31,21.36825
-7.21076,112.3404,40.4,24.499901
-7.21183,112.2871,42.8,28.843889
-7.19675,112.2423,35.7,23.382315
-7.16794,112.5132,9,16.682023
-7.15986,112.4614,15.2,16.009125
-7.16533,112.4248,11.2,15.384615
-7.17728,112.3829,23.8,16.874144
-7.16974,112.3433,15.6,14.824014
-7.15847,112.2924,18.2,13.673966
-7.1619,112.2387,16.6,13.687539
-7.12403,112.6009,9.2,18.447888
-7.12086,112.5464,1.9,15.473268
-7.13434,112.4925,2.7,14.539036
-7.13214,112.4261,5.7,11.197141
-7.13486,112.3815,5,10.863641
-7.12661,112.3348,8.7,9.409681
-7.11236,112.2982,7.2,8.157929
-7.11709,112.2469,10.3,9.410381
-7.08766,112.5721,2.7,20.120672
-7.07448,112.5152,2.5,14.997296
-7.0644,112.4811,2.3,12.425699
-7.06423,112.4346,2.3,6.763587
-7.07796,112.3823,3.3,4.393333
-7.07769,112.3364,3.2,5.055532
-7.07142,112.3002,4.1,6.090532
-7.06676,112.2404,5.8,6.186557
-7.03504,112.5707,12.8,30.563683
-7.03189,112.5202,9.3,27.152871
-7.03095,112.4668,2.6,19.235856
-7.03584,112.4214,2.4,10.742233
-7.03053,112.3831,2.6,9.418857
-7.03881,112.3495,2.3,6.633483
-7.02231,112.2982,4.1,9.749353
-7.02381,112.2322,5.5,9.581525
-6.99191,112.5645,3.5,36.444021
-6.98516,112.5186,10.5,40.532612
-6.97985,112.466,11,43.490919
-6.97639,112.4319,10.2,45.096139
-6.98431,112.3774,6.5,36.389318
-6.9813,112.3403,5.7,36.145984
-6.98124,112.2956,5.5,29.668712
-6.95287,112.5563,3.1,35.945929
-6.93676,112.5113,38.1,39.468753
-6.92911,112.4692,26.6,42.845077
-6.93385,112.4371,51.7,46.644257
-6.93983,112.4094,68.2,49.899812
-6.93545,112.3367,32.9,49.189748
-6.94039,112.2992,28.7,49.274579
-6.9247,112.2359,54.7,44.457097
-6.88489,112.4516,2.3,36.418486
-6.88335,112.3911,11.9,37.835663
-6.89762,112.3408,29.8,41.048432
-6.90006,112.2949,45.5,40.090674
-6.89511,112.2412,45,38.95692
-7.03275,112.1455,8.6,16.074056
-7.11778,112.4445,3.7,9.51751
-7.16134,112.6237,34.8,13.121632
-7.19417,112.6456,4.5,9.150159
-7.16045,112.167,13.6,12.004686
-8.16965,110.76828,164.6,109.955595
-8.14253,110.60497,7.4,112.323965
-8.13273,110.65664,188.8,112.214014
-8.14937,110.70238,207.1,109.218286
-8.13771,110.74538,250.3,105.991126
-8.08428,110.48817,178.4,121.885968
-8.10198,110.51679,109.6,119.127137
-8.11422,110.56111,68.5,109.507189
-8.09562,110.61254,219.5,104.181769
-8.09796,110.66935,261.4,105.582007
-8.10917,110.75682,296.1,105.578008
-8.0308,110.36842,233.6,123.06291
-8.06397,110.4317,217.7,132.430434
-8.05249,110.48934,256.6,122.427911
-8.05187,110.53478,283.5,108.829432
-8.06365,110.57838,244,107.876222
-8.06296,110.6231,257.8,102.221372
-8.05708,110.65143,251.3,101.732415
-8.06493,110.70199,292.3,97.836674
-8.06533,110.7578,358,98.005716
-8.00887,110.30228,8.7,118.372024
-8.00392,110.34721,343.3,127.725576
-7.99981,110.3818,325.8,114.390945
-8.01548,110.41866,305.2,120.761674
-8.01448,110.46374,331.9,123.220803
-8.00593,110.5192,158.9,105.075492
-8.00253,110.56087,171.1,97.517363
